"ResortName","FullCoordinates","Longitude","Latitude","BackupLongitude","Field4"
"Mohawk Mountain Ski Area","41.83675°N 73.31342°W","41.83675","73.31342","41°50′12″N","73°18′48″W"
"Mount Southington","41.58235°N 72.92587°W","41.58235","72.92587","41°34′56″N","72°55′33″W"
"Powder Ridge Ski Area","41.502006°N 72.737172°W","41.502006","72.737172","41°30′07″N","72°44′14″W"
"Ski Sundown",,,,"41°53′03″N","72°56′43″W"
"Baker Mountain (ski area)","45.08472°N 69.90556°W","45.08472","69.90556","45°5′5″N","69°54′20″W"
"Big Rock (ski resort)",,,,"46°31′20″N","67°49′40″W"
"Big Squaw Mountain Resort",,,,"45°30′15″N","69°42′20″W"
"Black Mountain of Maine","44.58000°N 70.61750°W","44.58000","70.61750","44°34′48″N","70°37′3″W"
"Camden Snow Bowl","44.217216°N 69.134667°W","44.217216","69.134667","44°13′02″N","69°08′05″W"
"Eaton Mountain",,,,"44°46′5″N","69°37′10″W"
"Lonesome Pine Trails",,,,"47°13′58″N","68°35′35″W"
"Lost Valley Ski Area",,,,"44°08′10″N","70°16′52″W"
"Ski Mount Abram",,,,"44°22′45″N","70°42′25″W"
"Powderhouse Hill (ski area)",,,,"43°14′13″N","70°48′8″W"
"Saddleback Maine (ski resort)",,,,"44°56′12″N","070°30′11″W"
"Shawnee Peak Ski Area",,,,"44°3′30″N","70°48′55″W"
"Sugarloaf (ski resort)",,,,"45°01′53″N","70°18′47″W"
"Sunday River (ski resort)","44.46944°N 70.86111°W","44.46944","70.86111","44°28′10″N","70°51′40″W"
"Titcomb Mountain",,,,"44°39′0″N","70°10′15″W"
"Berkshire East Ski Resort",,,,"42°37′15″N","72°52′37″W"
"Blandford Ski Area",,,,"42°11′19.865″N","72°54′2.765″W"
"Blue Hills Ski Area",,,,"42°12′55″N","71°07′09″W"
"Bousquet Ski Area",,,,"42°24′58″N","73°16′45″W"
"Ski Butternut",,,,"42°10′41″N","73°19′01″W"
